レシピID,料理の種類,料理の説明,原材料,作り方
1,寿司,"伝統的な日本の料理です。","米, 酢, 砂糖, 塩, 海苔, 魚, 野菜, わさび","米を炊き、調味料を加える。魚を切り、米にのせる。"
2,天ぷら,"サクサクとした食感が特徴です。","エビ, 野菜, 小麦粉, 水, 卵, 油, 天つゆ","材料を切り、衣をつけて揚げる。天つゆで食べる。"
3,うどん,"小麦粉で作る伝統的な麺料理です。","小麦粉, 水, 塩, だし, 醤油, みりん, ネギ, 天かす","小麦粉を練り、麺を作る。だしでスープを作り、麺を茹でて組み合わせる。"
4,お好み焼き,"具材を入れた生地を焼いた料理です。","キャベツ, 豚肉, 小麦粉, 水, 卵, トッピング用ソース","キャベツを切り、生地を作る。フライパンで両面を焼く。ソースをかける。"
5,刺身,"新鮮な魚の薄切りです。","魚, わさび, 醤油","新鮮な魚を薄切りにし、わさびと醤油で食べる。"
6,ラーメン,"中華麺とスープ、トッピングで構成される料理です。","麺, スープ(豚骨、味噌、醤油など), チャーシュー, ネギ, もやし, 海苔, 卵","スープを作る。麺を茹で、スープに入れ、トッピングを追加する。"
7,餃子,"野菜や肉を包んだ小さなダンプリングです。","豚肉, キャベツ, ニラ, ニンニク, 餃子の皮, 油, 醤油, 酢, ラー油","具を作り、皮で包む。フライパンで焼き、蒸し焼きにする。"
8,かつ丼,"豚カツを卵とオニオンブロスでトッピングした丼ぶりの料理です。","豚肉, 卵, 玉ねぎ, 米, 醤油, だし, 砂糖, 小麦粉, パン粉, 油","豚肉を衣で揚げる。玉ねぎと調味料でスープを作り、卵でとじる。米の上にのせる。"
9,照り焼きチキン,"鶏肉を甘辛いタレで焼いた料理です。","鶏肉, 醤油, みりん, 砂糖, 酒, セサミオイル, ネギ","タレを作り、鶏肉を漬ける。フライパンで焼き、タレをからめる。"
10,味噌汁,"だしと味噌をベースとしたスープです。","味噌, だし, 豆腐, ワカメ, ネギ","だしを沸かし、味噌を溶かす。具材を加えて煮る。"
